Timestamp,CPU Usage,Memory Usage
2026-01-16 20:58:59,29.2,85.9
2026-01-16 20:59:27,32.4,77.3
2026-01-16 20:59:33,25.0,76.3
2026-01-16 20:59:39,24.6,77.4
2026-01-16 20:59:45,32.5,77.3
2026-01-16 20:59:51,44.2,78.6
2026-01-16 20:59:57,27.1,77.5
2026-01-16 21:00:03,30.8,78.5
2026-01-16 21:00:09,23.1,78.6
2026-01-16 21:00:15,21.9,77.8
2026-01-16 21:00:21,22.2,75.7
2026-01-16 21:00:27,21.7,75.8
2026-01-16 21:00:33,22.7,75.8
2026-01-16 21:00:39,27.0,76.4
2026-01-16 21:00:45,25.0,75.0
2026-01-16 21:00:51,22.4,74.8
2026-01-16 21:00:57,27.9,75.6
2026-01-16 21:01:03,26.8,75.2
2026-01-16 21:01:09,27.9,75.7
2026-01-16 21:01:15,72.7,79.3
2026-01-16 21:01:21,49.2,76.9
2026-01-16 21:01:27,36.8,77.4
2026-01-16 21:01:33,31.2,78.6
2026-01-16 21:01:39,25.6,78.1
2026-01-16 21:01:45,27.3,78.1
2026-01-16 21:01:51,31.7,77.7
2026-01-16 21:01:57,28.4,78.4
2026-01-16 21:02:03,39.2,80.3
2026-01-16 21:02:09,30.9,78.0
